STAT,JJJJMMDD,QN,TG,TN,TM,TX,RFM,FM,FX,SO,NM,RR,PM
10513,20240125,1,-0.7,2.7,7.6,10.0,82.8,2.0,8.6,1.8,6.3,1.3,1016.6
10513,20240124,1,6.7,8.1,11.4,14.3,69.6,4.0,24.4,0.6,7.7,0.0,1010.8
10513,20240123,1,4.0,5.5,7.7,11.7,75.3,3.0,15.8,3.2,6.1,4.2,1011.8
10513,20240122,1,2.8,6.2,9.2,12.7,73.1,4.0,17.8,1.6,7.4,0.1,1001.3
10513,20240121,1,-3.3,-2.6,1.0,6.9,69.9,3.0,14.2,0.0,7.8,0.5,1011.4
10513,20240120,1,-6.8,-10.3,-4.1,-0.2,78.2,3.0,8.9,6.9,3.0,0.0,1017.5
10513,20240119,1,-6.0,-5.6,-2.0,1.5,87.9,1.0,3.6,0.2,5.3,0.0,1009.3
10513,20240118,1,-3.7,-4.5,-2.2,-0.5,90.7,2.0,4.6,4.7,5.6,0.4,989.5
10513,20240117,1,-7.2,-4.8,-2.3,-0.6,85.6,2.0,7.2,0.0,7.8,12.0,981.6
10513,20240116,1,-7.6,-5.0,-0.4,1.7,75.2,3.0,11.1,3.0,6.3,0.0,997.3
10513,20240115,1,-0.3,0.1,0.8,1.8,87.8,3.0,11.3,0.0,7.7,0.7,992.7
10513,20240114,1,-0.1,-0.2,0.9,1.5,87.8,2.0,11.7,0.0,8.0,1.0,999.0
10513,20240113,1,0.0,0.2,1.2,2.4,89.6,2.0,8.9,0.0,7.9,0.0,1011.7
10513,20240112,1,-1.9,-1.9,-0.6,0.5,93.2,1.0,4.3,0.0,7.9,0.2,1020.5
10513,20240111,1,-12.3,-10.6,-5.1,0.3,80.1,2.0,6.2,7.0,0.9,0.0,1020.6
10513,20240110,1,-11.9,-10.2,-5.8,0.1,70.7,2.0,4.1,1.3,2.5,0.0,1017.1
10513,20240109,1,-12.5,-10.4,-4.8,2.4,60.3,1.0,7.4,7.0,0.0,0.0,1018.7
10513,20240108,1,-9.6,-6.3,-2.3,0.3,61.2,3.0,10.6,4.5,6.1,0.0,1017.1
10513,20240107,1,-2.4,-1.3,0.7,2.0,79.8,3.0,10.3,0.0,7.8,0.0,1009.3
10513,20240106,1,1.9,1.7,4.1,6.8,92.9,2.0,8.7,0.0,7.8,0.4,997.5
10513,20240105,1,5.9,6.4,8.1,9.3,70.8,3.0,12.5,1.8,7.2,0.9,989.1
10513,20240104,1,3.3,5.1,7.9,9.7,82.2,3.0,14.9,0.3,7.8,0.8,991.2
10513,20240103,1,7.2,7.8,10.3,12.9,73.7,4.0,16.8,0.6,7.7,5.0,981.8
10513,20240102,1,6.1,6.4,9.6,12.4,83.9,4.0,19.2,0.0,7.6,13.8,983.2
10513,20240101,1,5.4,6.5,7.9,8.8,71.3,3.0,13.4,0.0,7.7,12.3,994.3
10513,20231231,1,5.3,6.8,8.9,10.7,71.3,4.0,14.4,1.1,7.8,0.0,990.6
10513,20231230,1,4.0,6.2,8.7,11.2,74.6,3.0,11.7,2.2,7.7,0.0,1001.3
